path	size	first_u16	owning_s	format	invariant	consumer
graphics/misc/gUnknown_089AD498.bin	104	0x0210	data/data_9A31F8.s	UNKNOWN		gUnknown_089AD498,
graphics/misc/gUnknown_08A0AE84.bin	68	0x010F	data/data_A01CC4.s	UNKNOWN		
graphics/misc/gUnknown_08A3F21C.bin	1268	0x131D	data/data_A3E4D4.s	UNKNOWN		
graphics/misc/AP_DrawPreparationsBanner.bin	104	0x0004	data/data_A195B0.s	ap_definition	ok	APProc_Create(AP_DrawPreparationsBanner, 60, 16, OAM2_CHR(0x240) + OAM
graphics/misc/ApConf_089A6254.bin	3308	0x0004	data/data_9A31F8.s	ap_definition	ok	APProc_Create(ApConf_089A6254, proc->xDisplay, proc->yDisplay, OAM2_CH
graphics/misc/ApConf_ManimSilencefx.bin	312	0x0004	data/data_9A31F8.s	ap_definition	ok	ApConf_ManimSilencefx,
graphics/misc/ApConf_MapAnimBerserkfx.bin	208	0x0004	data/data_9A31F8.s	ap_definition	ok	ApConf_MapAnimBerserkfx,
graphics/misc/ApConf_MapAnimTorchfx.bin	92	0x0004	data/data_9A31F8.s	ap_definition	ok	ApConf_MapAnimTorchfx,
graphics/misc/ApHandle_GmapSoguSprites.bin	124	0x0004	data/data_9A31F8.s	ap_definition	ok	ap = AP_Create(ApHandle_GmapSoguSprites, 7);
graphics/misc/Ap_WmHightLightMap2.bin	316	0x0004	data/data_A3E4D4.s	ap_definition	ok	Ap_WmHightLightMap2,
graphics/misc/Ap_WmHightLightMap3.bin	100	0x0004	data/data_A3E4D4.s	ap_definition	ok	Ap_WmHightLightMap3,
graphics/misc/Ap_WmHightLightMap4.bin	92	0x0004	data/data_A3E4D4.s	ap_definition	ok	Ap_WmHightLightMap4,
graphics/misc/Ap_WmHightLightMap5.bin	52	0x0004	data/data_A3E4D4.s	ap_definition	ok	Ap_WmHightLightMap5,
graphics/misc/Ap_WmHightLightMap6.bin	80	0x0004	data/data_A3E4D4.s	ap_definition	ok	Ap_WmHightLightMap6,
graphics/misc/Ap_WmHightLightMap7.bin	56	0x0004	data/data_A3E4D4.s	ap_definition	ok	Ap_WmHightLightMap7,
graphics/misc/Ap_WmHightLightMap8.bin	104	0x0004	data/data_A3E4D4.s	ap_definition	ok	Ap_WmHightLightMap8,
graphics/misc/Ap_WmHightLightMapFrecia.bin	112	0x0004	data/data_A3E4D4.s	ap_definition	ok	Ap_WmHightLightMapFrecia,
graphics/misc/Obj_MapAnimMISS.bin	360	0x0004	data/data_9A31F8.s	ap_definition	ok	Obj_MapAnimMISS,
graphics/misc/Obj_PoisonAnim.bin	152	0x0004	data/data_9A31F8.s	ap_definition	ok	Obj_PoisonAnim,
graphics/misc/SpritAnim_MineFx.bin	148	0x0004	data/data_59E8E0.s	ap_definition	ok	APProc_Create(SpritAnim_MineFx, x, y, 0x5180, 0, 0);
graphics/misc/SpriteAnim_ArrowTrap.bin	1468	0x0004	data/data_59E8E0.s	ap_definition	ok	APProc_Create(SpriteAnim_ArrowTrap, x, DISPLAY_HEIGHT / 2, oam2, 0, 0)
graphics/misc/SpriteAnim_FireTrap.bin	1684	0x0004	data/data_59E8E0.s	ap_definition	ok	APProc_Create(SpriteAnim_FireTrap, x, y, oam2, 0, 0);
graphics/misc/SpriteAnim_GasTrapHorizontal.bin	628	0x0004	data/data_59E8E0.s	ap_definition	ok	anim = SpriteAnim_GasTrapHorizontal;
graphics/misc/SpriteAnim_GasTrapVertical.bin	676	0x0004	data/data_59E8E0.s	ap_definition	ok	anim = SpriteAnim_GasTrapVertical;
